Timestamp,CO2_ppm,Temperature_C,Humidity_%RH,AQI,TVOC_ppb,eCO2_ppm,H2_ppm,H2S_ppm,NH3_ppm,CH4_ppm,CO_ppm
11/14/2024 13:02:15,0,0.00,0.00,3,374,826,53.09,0.39,2.23,5.58,0.00
11/14/2024 13:02:16,0,0.00,0.00,4,1291,1070,52.93,0.40,2.21,4.82,0.00
11/14/2024 13:02:16,0,0.00,0.00,4,1290,1070,53.09,0.39,2.34,3.27,0.00
11/14/2024 13:02:17,0,0.00,0.00,4,1341,1081,53.09,0.39,2.19,2.19,0.00
11/14/2024 13:02:18,664,33.63,23.96,3,427,843,53.26,0.38,2.25,1.56,0.00
11/14/2024 13:02:19,664,33.63,23.96,3,397,834,53.42,0.38,2.21,1.09,0.00
11/14/2024 13:02:20,664,33.63,23.96,3,415,840,53.26,0.39,2.23,0.87,0.00
11/14/2024 13:02:21,664,33.63,23.96,3,415,839,53.09,0.38,2.19,0.64,0.00
11/14/2024 13:02:22,650,33.03,24.56,3,424,842,52.77,0.39,2.25,0.52,0.00
11/14/2024 13:02:23,650,33.03,24.56,3,417,840,53.26,0.38,2.23,0.40,0.00
11/14/2024 13:02:24,650,33.03,24.56,3,413,839,53.09,0.40,2.23,0.32,0.00
11/14/2024 13:02:25,650,33.03,24.56,3,419,841,53.09,0.38,2.14,0.33,0.00
11/14/2024 13:02:26,650,33.03,24.56,3,425,843,53.09,0.38,2.21,0.28,0.00
11/14/2024 13:02:27,646,32.61,25.08,3,417,840,53.09,0.37,2.19,0.25,0.00
11/14/2024 13:02:28,646,32.61,25.08,3,433,845,53.09,0.37,2.21,0.26,0.00
11/14/2024 13:02:29,646,32.61,25.08,3,417,840,53.09,0.37,2.16,0.23,0.00
11/14/2024 13:02:30,646,32.61,25.08,3,434,846,53.26,0.39,2.14,0.19,0.00
11/14/2024 13:02:31,646,32.61,25.08,3,416,840,53.09,0.37,2.14,0.20,0.00
11/14/2024 13:02:32,642,32.32,25.58,3,414,839,53.09,0.37,2.14,0.17,0.00
11/14/2024 13:02:34,642,32.32,25.58,3,431,845,53.09,0.37,2.14,0.18,0.00
11/14/2024 13:02:35,642,32.32,25.58,3,391,832,52.93,0.37,2.10,0.18,0.00
11/14/2024 13:02:36,642,32.32,25.58,3,423,842,53.09,0.36,2.10,0.18,0.00
11/14/2024 13:02:37,648,31.98,26.02,3,408,837,52.77,0.36,2.14,0.15,0.00
11/14/2024 13:02:38,648,31.98,26.02,3,379,828,52.60,0.37,2.10,0.15,0.00
11/14/2024 13:02:39,648,31.98,26.02,3,413,839,52.77,0.36,2.12,0.14,0.00
11/14/2024 13:02:40,648,31.98,26.02,3,418,840,53.09,0.36,2.08,0.15,0.00
11/14/2024 13:02:41,648,31.98,26.02,3,414,839,52.44,0.36,2.10,0.17,0.00
11/14/2024 13:02:42,653,31.70,26.38,3,416,840,52.93,0.36,2.08,0.14,0.00
11/14/2024 13:02:43,653,31.70,26.38,3,414,839,53.09,0.36,2.10,0.15,0.00
11/14/2024 13:02:44,653,31.70,26.38,3,408,837,52.93,0.36,2.12,0.15,0.00
11/14/2024 13:02:45,653,31.70,26.38,3,427,843,52.77,0.36,2.10,0.16,0.00
11/14/2024 13:02:46,653,31.70,26.38,3,416,840,52.93,0.36,2.06,0.15,0.00
11/14/2024 13:02:47,661,31.45,26.70,3,416,840,52.60,0.36,2.10,0.15,0.00
11/14/2024 13:02:48,661,31.45,26.70,3,425,843,52.77,0.36,2.06,0.15,0.00
11/14/2024 13:02:49,661,31.45,26.70,3,414,839,52.93,0.36,2.08,0.19,0.00
11/14/2024 13:02:50,661,31.45,26.70,3,400,835,52.77,0.35,2.06,0.13,0.00
11/14/2024 13:02:51,667,31.27,27.00,3,405,836,52.60,0.36,2.06,0.13,0.00
11/14/2024 13:02:52,667,31.27,27.00,3,418,841,52.44,0.35,2.06,0.13,0.00
11/14/2024 13:02:53,667,31.27,27.00,3,423,842,52.44,0.35,2.04,0.14,0.00
11/14/2024 13:02:54,667,31.27,27.00,3,413,839,52.77,0.34,2.04,0.15,0.00
11/14/2024 13:02:55,667,31.27,27.00,3,391,832,52.60,0.36,2.02,0.15,0.00
11/14/2024 13:02:56,666,31.05,27.36,3,399,835,52.93,0.36,2.02,0.16,0.00
11/14/2024 13:02:58,666,31.05,27.36,3,402,835,52.27,0.35,2.04,0.14,0.00
11/14/2024 13:02:59,666,31.05,27.36,3,408,837,52.77,0.36,2.02,0.14,0.00
