Timestamp,CO2_ppm,Temperature_C,Humidity_%RH,AQI,TVOC_ppb,eCO2_ppm,H2_ppm,H2S_ppm,NH3_ppm,CH4_ppm,CO_ppm
11/07/2024 09:00:00,406,11.2,40.66,2,117,578,0.87,0.26,0.19,0.2,
11/07/2024 09:00:05,407,11.22,40.69,2,120,582,0.87,0.25,0.19,0.19,
11/07/2024 09:00:10,406,11.23,40.67,2,118,579,0.87,0.26,0.19,0.2,
11/07/2024 09:00:15,405,11.23,40.6,2,120,582,0.88,0.26,0.19,0.22,
11/07/2024 09:00:20,405,11.23,40.68,2,121,584,0.89,0.28,0.21,,1.2
11/07/2024 09:00:25,406,11.24,40.72,2,122,585,0.87,0.26,0.2,,1.35
11/07/2024 09:00:30,405,11.25,40.66,2,117,577,0.87,0.27,0.2,,5.28
11/07/2024 09:00:35,405,11.26,40.68,2,111,567,0.86,0.27,0.19,,5.12
11/07/2024 09:00:40,405,11.26,40.66,2,120,581,0.86,0.27,0.19,,3.8
11/07/2024 09:00:45,403,11.29,40.7,2,112,569,0.87,0.27,0.19,,3.15
11/07/2024 09:00:50,403,11.28,40.67,2,113,571,0.86,0.28,0.19,,3.79
11/07/2024 09:00:55,401,11.29,40.67,2,120,581,0.86,0.27,0.2,,3.33
11/07/2024 09:01:00,400,11.29,40.66,2,115,574,0.86,0.28,0.2,,3.33
11/07/2024 09:01:05,400,11.29,40.69,2,113,571,0.86,0.28,0.2,,3.23
11/07/2024 09:01:10,402,11.31,40.64,2,118,579,0.86,0.28,0.2,,3.23
11/07/2024 09:01:15,403,11.32,40.6,2,110,566,0.86,0.28,0.2,,3.07
11/07/2024 09:01:20,405,11.33,40.65,2,119,580,0.86,0.28,0.2,,3.07
11/07/2024 09:01:24,405,11.33,40.61,2,111,568,0.87,0.28,0.2,,3.12
11/07/2024 09:01:29,405,11.35,40.62,2,123,586,0.86,0.28,0.2,,3.02
11/07/2024 09:01:34,405,11.37,40.62,2,122,586,0.87,0.28,0.2,,2.97
11/07/2024 09:01:39,406,11.36,40.68,2,128,594,0.86,0.29,0.2,,2.92
11/07/2024 09:01:44,408,11.37,40.64,2,134,603,0.86,0.29,0.2,,2.92
11/07/2024 09:01:49,408,11.37,40.57,2,115,574,0.85,0.27,0.19,0,
11/07/2024 09:01:54,412,11.38,40.61,2,121,584,0.87,0.28,0.19,0.89,
11/07/2024 09:01:59,414,11.4,40.62,2,126,591,0.87,0.27,0.2,0.32,
11/07/2024 09:02:04,412,11.38,40.63,2,122,584,0.88,0.27,0.21,0.22,
11/07/2024 09:02:09,413,11.43,40.61,2,125,589,0.88,0.27,0.2,0.22,
11/07/2024 09:02:14,415,11.43,40.57,2,119,580,0.87,0.26,0.2,0.22,
11/07/2024 09:02:19,415,11.44,40.63,2,130,597,0.88,0.26,0.2,0.2,
11/07/2024 09:02:24,414,11.42,40.55,2,129,596,0.87,0.27,0.2,0.2,
11/07/2024 09:02:29,415,11.44,40.65,2,123,586,0.87,0.26,0.19,0.19,
11/07/2024 09:02:34,415,11.47,40.52,2,118,578,0.87,0.25,0.19,0.19,
11/07/2024 09:02:39,415,11.47,40.6,2,127,593,0.87,0.25,0.19,0.17,
11/07/2024 09:02:44,411,11.46,40.54,2,119,580,0.87,0.25,0.19,0.2,
11/07/2024 09:02:49,413,11.5,40.59,2,120,581,0.89,0.28,0.2,,1.19
11/07/2024 09:02:54,414,11.49,40.55,2,120,582,0.87,0.26,0.2,,1.41
11/07/2024 09:02:59,414,11.5,40.52,2,126,591,0.87,0.26,0.19,,5.44
11/07/2024 09:03:04,416,11.48,40.54,2,124,589,0.86,0.27,0.19,,5.2
11/07/2024 09:03:09,418,11.5,40.54,2,120,582,0.86,0.27,0.2,,3.73
11/07/2024 09:03:14,417,11.54,40.49,2,125,590,0.86,0.27,0.2,,3.09
11/07/2024 09:03:19,417,11.55,40.5,2,132,601,0.87,0.27,0.2,,3.79
11/07/2024 09:03:24,419,11.53,40.56,2,126,591,0.87,0.28,0.2,,3.61
11/07/2024 09:03:29,419,11.55,40.46,2,129,596,0.88,0.27,0.2,,3.44
11/07/2024 09:03:34,416,11.55,40.5,2,114,572,0.87,0.28,0.2,,3.33
11/07/2024 09:03:39,418,11.58,40.52,2,128,594,0.87,0.29,0.2,,3.23
