Timestamp,CO2_ppm,Temperature_C,Humidity_%RH,AQI,TVOC_ppb,eCO2_ppm,H2_ppm,H2S_ppm,NH3_ppm,CH4_ppm,CO_ppm
11/06/2024 10:57:25,0,0.00,0.00,1,0,400,75.84,13.03,14.64,12.05,0.00
11/06/2024 10:57:30,496,25.54,43.36,2,122,585,121.31,134.83,170.30,11.46,0.00
11/06/2024 10:57:35,430,25.38,44.82,1,15,400,147.62,185.52,403.80,9.78,0.00
11/06/2024 10:57:40,437,25.20,45.44,1,11,400,158.11,168.71,492.59,9.78,0.00
11/06/2024 10:57:45,339,25.07,46.14,1,22,400,166.77,188.02,561.28,10.32,0.00
11/06/2024 10:57:50,347,24.87,46.77,1,17,400,166.77,144.77,513.01,10.32,0.00
11/06/2024 10:57:55,403,24.71,47.44,1,27,409,166.77,125.44,482.61,9.26,0.00
11/06/2024 10:58:00,412,24.56,48.04,1,28,410,165.62,116.58,458.33,9.78,0.00
11/06/2024 10:58:05,414,24.41,48.62,1,20,400,166.20,108.22,434.98,8.27,0.00
11/06/2024 10:58:10,415,24.29,49.10,1,27,406,167.35,103.44,434.98,10.88,0.00
11/06/2024 10:58:15,420,24.15,49.59,1,19,400,166.20,97.33,412.53,9.26,0.00
11/06/2024 10:58:20,421,24.04,50.05,1,29,411,168.49,98.83,430.42,0.00,5.29
11/06/2024 10:59:00,0,0.00,0.00,1,30,415,53.30,0.39,2.22,3.69,0.00
11/06/2024 10:59:05,395,27.31,42.67,3,362,822,53.67,0.39,2.20,0.97,0.00
11/06/2024 10:59:10,407,26.59,44.39,1,32,418,53.11,0.37,2.18,0.55,0.00
11/06/2024 10:59:15,439,26.33,45.21,1,24,400,53.11,0.37,2.10,0.42,0.00
11/06/2024 10:59:20,447,26.06,45.89,1,26,406,52.74,0.35,2.10,0.42,0.00
11/06/2024 10:59:25,440,25.82,46.60,1,22,400,52.74,0.34,2.06,0.39,0.00
11/06/2024 10:59:30,443,25.58,47.27,1,29,413,52.93,0.33,2.04,0.42,0.00
11/06/2024 10:59:35,451,25.39,47.83,1,33,420,53.30,0.34,2.04,0.39,0.00
11/06/2024 10:59:40,446,25.20,48.40,1,34,424,52.74,0.33,1.97,0.37,0.00
11/06/2024 10:59:45,448,25.04,48.90,1,35,426,52.93,0.33,1.95,0.39,0.00
11/06/2024 10:59:50,447,24.85,49.43,1,30,414,52.93,0.33,1.95,0.37,0.00
11/06/2024 10:59:54,445,24.70,49.90,1,26,405,54.04,0.36,2.18,0.00,0.34
11/06/2024 11:00:06,0,0.00,0.00,1,8,400,80.98,1.72,6.31,11.91,0.00
11/06/2024 11:00:11,475,27.32,42.67,3,281,784,101.46,3.20,12.45,10.59,0.00
11/06/2024 11:00:16,426,26.74,44.45,1,32,418,109.73,3.53,15.69,8.78,0.00
11/06/2024 11:00:21,420,26.46,45.17,1,24,402,114.24,3.53,16.58,8.78,0.00
11/06/2024 11:00:26,431,26.22,45.88,1,25,403,115.47,3.36,16.40,9.36,0.00
11/06/2024 11:00:31,446,25.97,46.53,1,24,401,115.87,3.25,16.22,9.36,0.00
11/06/2024 11:01:13,0,0.00,0.00,1,24,401,53.25,0.40,2.27,3.34,0.00
11/06/2024 11:01:18,415,27.76,42.43,3,344,816,53.44,0.39,2.19,0.83,0.00
11/06/2024 11:01:23,431,27.07,44.15,1,34,423,53.06,0.38,2.17,0.50,0.00
11/06/2024 11:01:28,437,26.77,44.93,1,30,414,53.25,0.38,2.15,0.40,0.00
11/06/2024 11:01:33,429,26.53,45.66,1,24,402,53.06,0.36,2.12,0.29,0.00
11/06/2024 11:01:38,421,26.29,46.29,1,21,400,52.88,0.36,2.10,0.33,0.00
11/06/2024 11:01:43,429,26.06,46.92,1,25,404,53.06,0.36,2.05,0.37,0.00
11/06/2024 11:01:48,431,25.85,47.53,1,27,406,53.06,0.36,2.05,0.31,0.00
11/06/2024 11:02:28,0,0.00,0.00,1,34,424,52.88,0.38,2.10,3.15,0.00
11/06/2024 11:02:33,505,28.22,42.11,3,355,820,53.06,0.38,2.05,0.86,0.00
11/06/2024 11:02:38,437,27.41,43.86,1,29,412,52.69,0.36,2.05,0.45,0.00
11/06/2024 11:02:43,444,27.14,44.66,1,32,418,53.06,0.35,2.05,0.31,0.00
11/06/2024 11:02:48,424,26.87,45.34,1,40,435,53.06,0.35,2.03,0.31,0.00
11/06/2024 11:02:53,425,26.63,45.99,1,40,436,52.88,0.35,2.05,0.33,0.00
11/06/2024 11:03:07,0,0.00,0.00,1,9,400,39.95,0.28,1.17,0.31,0.00
11/06/2024 11:03:12,468,28.08,42.08,3,331,812,48.13,0.42,1.91,0.31,0.00
11/06/2024 11:03:17,437,27.43,43.91,1,31,416,51.37,0.45,2.22,0.29,0.00
11/06/2024 11:03:22,435,27.19,44.57,1,29,411,52.88,0.44,2.32,0.29,0.00
11/06/2024 11:03:27,446,26.93,45.32,1,23,400,53.06,0.42,2.35,0.29,0.00
11/06/2024 11:03:32,445,26.70,45.97,1,19,400,53.44,0.41,2.27,0.27,0.00
11/06/2024 11:03:37,440,26.44,46.63,1,19,400,53.25,0.40,2.19,0.31,0.00
11/06/2024 11:03:42,437,26.20,47.23,1,24,401,53.06,0.38,2.19,0.33,0.00
11/06/2024 11:03:47,439,25.97,47.86,1,19,400,53.25,0.38,2.15,0.31,0.00
11/06/2024 11:03:52,439,25.73,48.40,1,26,406,53.06,0.38,2.15,0.31,0.00
11/06/2024 11:03:57,438,25.53,48.87,1,31,417,53.06,0.36,2.07,0.35,0.00
11/06/2024 11:04:02,442,25.35,49.40,1,33,421,53.63,0.39,2.25,0.00,0.29
11/06/2024 11:04:07,442,25.15,49.84,1,30,415,52.69,0.37,2.10,0.00,9.68
11/06/2024 11:04:12,443,24.98,50.24,1,32,419,52.31,0.38,2.07,0.00,37.44
11/06/2024 11:04:17,442,24.84,50.63,1,32,418,52.12,0.38,2.10,0.00,29.46
11/06/2024 11:04:22,443,24.69,50.99,1,41,439,52.12,0.38,2.15,0.00,20.47
11/06/2024 11:04:27,442,24.55,51.33,1,33,421,52.31,0.38,2.10,0.00,16.38
11/06/2024 11:04:32,441,24.42,51.62,1,29,412,51.93,0.38,2.12,0.00,14.27
11/06/2024 11:04:37,441,24.35,51.86,1,30,414,52.31,0.39,2.15,0.00,12.74
11/06/2024 11:04:42,443,24.22,52.09,1,38,431,52.12,0.38,2.10,0.00,12.22
11/06/2024 11:04:47,444,24.14,52.30,1,31,416,52.12,0.38,2.15,0.00,11.58
11/06/2024 11:04:52,443,24.04,52.61,1,39,435,52.12,0.38,2.10,0.00,11.33
11/06/2024 11:04:57,443,23.97,52.74,1,37,430,52.50,0.39,2.15,0.00,10.84
11/06/2024 11:05:02,444,23.89,52.92,1,45,446,52.31,0.39,2.17,0.00,10.60
11/06/2024 11:05:07,445,23.83,53.13,1,46,449,52.69,0.39,2.15,0.00,10.37
11/06/2024 11:05:12,443,23.75,53.27,1,40,436,52.12,0.40,2.22,0.00,10.37
11/06/2024 11:05:17,440,23.70,53.44,1,42,441,52.12,0.39,2.19,0.00,9.91
11/06/2024 11:05:22,441,23.64,53.57,1,32,418,52.31,0.40,2.17,0.00,9.80
11/06/2024 12:35:52,0,0.00,0.00,1,0,400,19.72,3.01,0.26,2.32,0.00
11/06/2024 12:35:57,500,24.83,52.62,1,49,454,37.95,119.07,47.66,2.48,0.00
11/06/2024 12:36:02,552,24.88,53.72,1,9,400,50.42,81.43,114.85,2.55,0.00
11/06/2024 12:36:07,558,24.77,54.68,1,14,400,56.25,35.89,85.37,2.48,0.00
11/06/2024 12:36:12,547,24.63,55.59,1,5,400,58.30,17.18,54.17,2.63,0.00
11/06/2024 12:36:17,521,24.32,57.33,1,25,402,59.23,10.03,38.56,2.80,0.00
11/06/2024 12:36:22,516,24.18,58.12,1,14,400,59.04,6.77,29.61,3.06,0.00
11/06/2024 12:36:27,520,24.03,58.81,1,10,400,59.23,5.00,23.75,3.34,0.00
11/06/2024 12:36:32,521,23.90,59.41,1,18,400,59.60,3.84,19.99,3.43,0.00
11/06/2024 12:36:39,0,0.00,0.00,1,9,400,59.41,2.84,16.02,4.26,0.00
11/06/2024 12:36:44,525,26.36,52.22,3,342,815,59.41,2.36,13.92,4.26,0.00
11/06/2024 12:36:49,602,25.80,54.41,1,20,400,58.86,2.07,12.53,4.72,0.00
11/06/2024 12:36:54,610,25.55,55.34,1,18,400,59.23,1.74,11.16,5.09,0.00
